Dropoff Address
"01-03/04, 55, Upper Serangoon Road, Toa Payoh, Singapore, Singapore, 347694"
"83, Punggol Central, Punggol, Singapore, Singapore, 828761"
"6, Raffles Boulevard, Downtown Core, Singapore, Singapore, 039594"
"Level 3, Departure Transit Hall, Airport Boulevard, Changi, Singapore, Singapore"
"2, Magazine Road, Singapore River, Singapore, Singapore, 059573"
"170, Bencoolen Street, Rochor, Singapore, Singapore, 189657"
"Roxy Square, Marine Parade Road, Marine Parade, Singapore, Singapore, 428769"
"1, Netheravon Road, Changi, Singapore, Singapore, 508502"
"Roxy Square, Marine Parade Road, Marine Parade, Singapore, Singapore, 428769"
"25, Scotts Road, Orchard, Singapore, Singapore, 228220"
"Singapore, Changi, Singapore"
"1, Farrer Park Station Road, Rochor, Singapore, Singapore, 217562"
"1, Netheravon Road, Changi, Singapore, Singapore, 508502"
"1, Netheravon Road, Changi, Singapore, Singapore, 508502"
"11, Cavenagh Road, Orchard, Singapore, Singapore, 229616"
"25, Scotts Road, Orchard, Singapore, Singapore, 228220"
"80, Collyer Quay, Downtown Core, Singapore, Singapore, 049326"
"Corner Of Macpherson And, 401, MacPherson Road, Toa Payoh, Singapore, Singapore, 368125"
"1, Farrer Park Station Road, Rochor, Singapore, Singapore, 217562"
"25, Scotts Road, Orchard, Singapore, Singapore, 228220"
"382, Havelock Road, Singapore River, Singapore, Singapore, 169629"
"88, East Coast Road, Marine Parade, Singapore, Singapore, 423371"
"Roxy Square, Marine Parade Road, Marine Parade, Singapore, Singapore, 428769"
"01-01, 500, Jalan Sultan, Kallang, Singapore, Singapore, 199020"
"2, Stamford Road, Downtown Core, Singapore, Singapore, 178882"
"1, Netheravon Road, Changi, Singapore, Singapore, 508502"
"323, Alexandra Road, Bukit Merah, Singapore, Singapore, 159972"
"3, Belilios Road, Rochor, Singapore, Singapore, 219924"
"25, Marine Parade Road, Marine Parade, Singapore, Singapore, 449536"
"80, Collyer Quay, Downtown Core, Singapore, Singapore, 049326"
"8D, Dempsey Road, Tanglin, Singapore, Singapore, 249672"
"821637, Punggol, Singapore, Singapore"
"88, East Coast Road, Marine Parade, Singapore, Singapore, 423371"
"730733, Woodlands, Singapore, Singapore"
"550553, Serangoon, Singapore, Singapore"
"277, Orchard Road, Orchard, Singapore, Singapore, 238858"
"5, Fraser Street, Downtown Core, Singapore, Singapore, 189354"
"70, Collyer Quay, Downtown Core, Singapore, Singapore"
"500, Dover Road, Queenstown, Singapore, Singapore, 139651"
"Orchard District, 28, Stevens Road, Tanglin, Singapore, Singapore, 257878"
"82, Collyer Quay, Downtown Core, Singapore, Singapore, 049213"
"#01 - 11, Clarke Quay, 3C, River Valley Road, Singapore River, Singapore, Singapore, 179022"
"11, Laguna Golf Green, Tampines, Singapore, Singapore, 488047"
"19, Jalan Aruan, Novena, Singapore, Singapore, 229134"
"22, Orange Grove Road, Tanglin, Singapore, Singapore, 258350"
"5, Coleman Street, Downtown Core, Singapore, Singapore, 179805"
"4, Upper Serangoon Crescent, Hougang, Singapore, Singapore, 534034"
"7, Raffles Boulevard, Downtown Core, Singapore, Singapore, 039595"
"06-50, Lucky Plaza, 304, Orchard Road, Orchard, Singapore, Singapore, 238863"
"02-03/04, Departure Check In Hall West, 80, Airport Boulevard, Changi, Singapore, Singapore, 819642"
"190, Orchard Boulevard, Orchard, Singapore, Singapore, 248646"
"22, Mount Elizabeth, Newton, Singapore, Singapore, 228517"
"11, Laguna Golf Green, Tampines, Singapore, Singapore, 488047"
"80, Middle Road, Downtown Core, Singapore, Singapore, 188966"
"93, Syed Alwi Road, Rochor, Singapore, Singapore, 207669"
"18, Marina Gardens Drive, Marina South, Singapore, Singapore, 018953"
"33, Jalan Afifi, Geylang, Singapore, Singapore, 409180"
"53, Pagoda Street, Outram, Singapore, Singapore, 059212"
"Singapore, Changi, Singapore"
"313, Orchard Road, Orchard, Singapore, Singapore, 238895"
"22, Orange Grove Road, Tanglin, Singapore, Singapore, 258350"
"25, Scotts Road, Orchard, Singapore, Singapore, 228220"
"1, Orchid Club Road, Yishun, Singapore, Singapore, 769162"
"86, East Coast Road, Marine Parade, Singapore, Singapore, 428788"
"02-03/04, Departure Check In Hall West, 80, Airport Boulevard, Changi, Singapore, Singapore, 819642"
"Singapore, Changi, Singapore"
"25, Marine Parade Road, Marine Parade, Singapore, Singapore, 449536"
"5, Fraser Street, Downtown Core, Singapore, Singapore, 189354"
"Level 3, Departure Transit Hall, Airport Boulevard, Changi, Singapore, Singapore"
"5, Coleman Street, Downtown Core, Singapore, Singapore, 179804"
"15, Stamford Road, Downtown Core, Singapore, Singapore, 178906"
"277, Orchard Road, Orchard, Singapore, Singapore, 238858"
"270, Orchard Road, Orchard, Singapore, Singapore, 238857"
"323, Alexandra Road, Bukit Merah, Singapore, Singapore, 159972"
"5, Fraser Street, Downtown Core, Singapore, Singapore, 189354"
"10, Bayfront Avenue, Downtown Core, Singapore, Singapore, 018956"
"20, Merchant Road, Singapore River, Singapore, Singapore, 058281"
"170, Bencoolen Street, Rochor, Singapore, Singapore, 189657"
"12, Marina Boulevard, Downtown Core, Singapore, Singapore, 018982"
"270, Orchard Road, Orchard, Singapore, Singapore, 238857"
"392, Havelock Road, Singapore River, Singapore, Singapore, 169663"
"1A, Cuscaden Road, Orchard, Singapore, Singapore, 249716"
"10, Farrer Park Station Road, Rochor, Singapore, Singapore, 217564"
"20, Merchant Road, Singapore River, Singapore, Singapore, 058281"
"Singapore, Changi, Singapore, 819642"
"01-01, 500, Jalan Sultan, Kallang, Singapore, Singapore, 199020"
"01-01, 500, Jalan Sultan, Kallang, Singapore, Singapore, 199020"
